Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Amphilophium dolichoides voucher G. Heiden 1769 chloroplast, complete genome",Amphilophium dolichoides,372,372,99%,6.999999999999997e-99,97.29,163755,NC_042932.1
"Amphilophium lactiflorum voucher A.H. Liogier 34305 chloroplast, complete genome",Amphilophium lactiflorum,372,372,99%,6.999999999999997e-99,97.29,155942,NC_042931.1
"Anemopaegma prostratum voucher J. Durigon 912 chloroplast, complete genome",Anemopaegma prostratum,372,372,99%,6.999999999999997e-99,97.29,168172,NC_042920.1
"Amphilophium chocoense chloroplast, complete genome",Amphilophium chocoense,372,372,99%,6.999999999999997e-99,97.29,156951,NC_042914.1
"Amphilophium gnaphalanthum voucher A.H. Gentry 50829 chloroplast, complete genome",Amphilophium gnaphalanthum,372,372,99%,6.999999999999997e-99,97.29,155262,NC_042903.1
"Forestiera segregata voucher P:R.J. Wagner 1330 (P04255144) chloroplast, complete genome",Forestiera segregata,372,372,99%,6.999999999999997e-99,97.29,155029,NC_042785.1
"Forestiera phillyreoides voucher P:J. Rzedowski 37309 (P03868558) chloroplast, complete genome",Forestiera phillyreoides,372,372,99%,6.999999999999997e-99,97.29,154987,NC_042784.1
"Forestiera ligustrina isolate B-1 chloroplast, complete genome",Forestiera ligustrina,372,372,99%,6.999999999999997e-99,97.29,154936,NC_042783.1
"Forestiera angustifolia isolate coll. 1997-0035-100 voucher DBG:R. Kathy 1861 chloroplast, complete genome",Forestiera angustifolia,372,372,99%,6.999999999999997e-99,97.29,155019,NC_042782.1
"Nestegis sandwicensis voucher MPU:T. Flynn 6329 chloroplast, complete genome",Nestegis sandwicensis,372,372,99%,6.999999999999997e-99,97.29,155565,NC_042457.1
"Nestegis lanceolata voucher RBGE R. Brown 32 (20040321A) chloroplast, complete genome",Nestegis lanceolata,372,372,99%,6.999999999999997e-99,97.29,154977,NC_042456.1
"Chionanthus ramiflorus voucher P:J.K. Munzinger 245 (P00155042) chloroplast, complete genome",Chionanthus ramiflorus,372,372,99%,6.999999999999997e-99,97.29,155649,NC_042446.1
"Ligustrum gracile voucher P:G.Besnard 03-2015 chloroplast, complete genome",Ligustrum gracile,372,372,99%,6.999999999999997e-99,97.29,163110,NC_042425.1
"Chionanthus macrobotrys voucher K:S. Collenette 905 chloroplast, complete genome",Chionanthus macrobotrys,372,372,99%,6.999999999999997e-99,97.29,154912,NC_042384.1
"Olea perrieri voucher MPU:F. Rakotonasolo 15 chloroplast, complete genome",Olea perrieri,372,372,99%,6.999999999999997e-99,97.29,155912,NC_042375.1
"Amphilophium steyermarkii voucher J.A. Steyermark 106874 chloroplast, complete genome",Amphilophium steyermarkii,372,372,99%,6.999999999999997e-99,97.29,164749,MK163626.1
"Amphilophium carolinae voucher M.M. Arbo 9125 chloroplast, complete genome",Amphilophium carolinae,372,372,99%,6.999999999999997e-99,97.29,163515,MK163625.1
"Amphilophium dolichoides voucher G. Heiden 1769 chloroplast, complete genome",Amphilophium dolichoides,372,372,99%,6.999999999999997e-99,97.29,163755,MK163624.1
"Amphilophium lactiflorum voucher A.H. Liogier 34305 chloroplast, complete genome",Amphilophium lactiflorum,372,372,99%,6.999999999999997e-99,97.29,155942,MK163623.1
"Anemopaegma prostratum voucher J. Durigon 912 chloroplast, complete genome",Anemopaegma prostratum,372,372,99%,6.999999999999997e-99,97.29,168172,MK415799.1
"Amphilophium chocoense chloroplast, complete genome",Amphilophium chocoense,372,372,99%,6.999999999999997e-99,97.29,156951,MK415793.1
"Amphilophium gnaphalanthum voucher A.H. Gentry 50829 chloroplast, complete genome",Amphilophium gnaphalanthum,372,372,99%,6.999999999999997e-99,97.29,155262,MK135829.1
"Chionanthus implicatus voucher K:N. Pitman 543 chloroplast, complete genome",Chionanthus implicatus,372,372,99%,6.999999999999997e-99,97.29,155761,NC_042283.1
"Syringa persica cultivar cv. Laciniata chloroplast, complete genome",Syringa persica,372,372,99%,6.999999999999997e-99,97.29,155414,NC_042280.1
"Olea lancea voucher P:G. Besnard, sn chloroplast, complete genome",Olea lancea,372,372,99%,6.999999999999997e-99,97.29,155863,NC_042278.1
"Ligustrum vulgare voucher G:G.Besnard 02-2007 chloroplast, complete genome",Ligustrum vulgare,372,372,99%,6.999999999999997e-99,97.29,162185,NC_042274.1
"Chionanthus filiformis isolate PEIC018 voucher ESA:D. Sampaio 182 (ESA 109374) chloroplast, complete genome",Chionanthus filiformis,372,372,99%,6.999999999999997e-99,97.29,155853,NC_042270.1
"Chionanthus compactus voucher M:J.R. Johnston 136 chloroplast, complete genome",Chionanthus compactus,372,372,99%,6.999999999999997e-99,97.29,155797,NC_042269.1
"Forestiera segregata voucher P:R.J. Wagner 1330 (P04255144) chloroplast, complete genome",Forestiera segregata,372,372,99%,6.999999999999997e-99,97.29,155029,MH817906.1
"Forestiera pubescens var. parviflora voucher MPU:P. Villemur 4 chloroplast, complete genome",Forestiera pubescens var. parviflora,372,372,99%,6.999999999999997e-99,97.29,155195,MH817905.1
"Forestiera phillyreoides voucher P:J. Rzedowski 37309 (P03868558) chloroplast, complete genome",Forestiera phillyreoides,372,372,99%,6.999999999999997e-99,97.29,154987,MH817904.1
"Forestiera ligustrina isolate B-1 chloroplast, complete genome",Forestiera ligustrina,372,372,99%,6.999999999999997e-99,97.29,154936,MH817903.1
"Forestiera angustifolia isolate coll. 1997-0035-100 voucher DBG:R. Kathy 1861 chloroplast, complete genome",Forestiera angustifolia,372,372,99%,6.999999999999997e-99,97.29,155019,MH817902.1
"Olea perrieri voucher MPU:F. Rakotonasolo 15 chloroplast, complete genome",Olea perrieri,372,372,99%,6.999999999999997e-99,97.29,155912,MH817929.1
"Nestegis sandwicensis voucher MPU:T. Flynn 6329 chloroplast, complete genome",Nestegis sandwicensis,372,372,99%,6.999999999999997e-99,97.29,155565,MH817918.1
"Nestegis lanceolata voucher RBGE R. Brown 32 (20040321A) chloroplast, complete genome",Nestegis lanceolata,372,372,99%,6.999999999999997e-99,97.29,154977,MH817917.1
"Ligustrum gracile voucher P:G.Besnard 03-2015 chloroplast, complete genome",Ligustrum gracile,372,372,99%,6.999999999999997e-99,97.29,163110,MH817914.1
"Chionanthus ramiflorus voucher P:J.K. Munzinger 245 (P00155042) chloroplast, complete genome",Chionanthus ramiflorus,372,372,99%,6.999999999999997e-99,97.29,155649,MH817894.1
"Chionanthus macrobotrys voucher K:S. Collenette 905 chloroplast, complete genome",Chionanthus macrobotrys,372,372,99%,6.999999999999997e-99,97.29,154912,MH817887.1
"Chionanthus implicatus voucher K:N. Pitman 543 chloroplast, complete genome",Chionanthus implicatus,372,372,99%,6.999999999999997e-99,97.29,155761,MH817885.1
"Syringa persica cultivar cv. Laciniata chloroplast, complete genome",Syringa persica,372,372,99%,6.999999999999997e-99,97.29,155414,MH817880.1
"Olea lancea voucher P:G. Besnard, sn chloroplast, complete genome",Olea lancea,372,372,99%,6.999999999999997e-99,97.29,155863,MH817878.1
"Ligustrum vulgare voucher G:G.Besnard 02-2007 chloroplast, complete genome",Ligustrum vulgare,372,372,99%,6.999999999999997e-99,97.29,162185,MH817874.1
"Chionanthus filiformis isolate PEIC018 voucher ESA:D. Sampaio 182 (ESA 109374) chloroplast, complete genome",Chionanthus filiformis,372,372,99%,6.999999999999997e-99,97.29,155853,MH817869.1
"Chionanthus compactus voucher M:J.R. Johnston 136 chloroplast, complete genome",Chionanthus compactus,372,372,99%,6.999999999999997e-99,97.29,155797,MH817868.1
"Ligustrum lucidum chloroplast, complete genome",Ligustrum lucidum,372,372,99%,6.999999999999997e-99,97.29,154793,MH394207.1
"Anemopaegma prostratum voucher J. Durigon 912 photosystem II protein H (psbH) gene, complete cds; chloroplast",Anemopaegma prostratum,372,372,99%,6.999999999999997e-99,97.29,222,MG750237.1
"Amphilophium steyermarkii voucher J.A. Steyermark 106874 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium steyermarkii,372,372,99%,6.999999999999997e-99,97.29,222,MG750234.1
"Amphilophium parkeri voucher L.J. Gillespie 902 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium parkeri,372,372,99%,6.999999999999997e-99,97.29,222,MG750229.1
"Amphilophium nunezii voucher L.G. Lohmann 606 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium nunezii,372,372,99%,6.999999999999997e-99,97.29,222,MG750225.1
"Amphilophium magnoliifolium voucher L.G. Lohmann 214 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium magnoliifolium,372,372,99%,6.999999999999997e-99,97.29,222,MG750224.1
"Amphilophium laxiflorum voucher T. Salinas 6839 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium laxiflorum,372,372,99%,6.999999999999997e-99,97.29,222,MG750223.1
"Amphilophium lactiflorum voucher A.H. Liogier 34305 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium lactiflorum,372,372,99%,6.999999999999997e-99,97.29,222,MG750222.1
"Amphilophium granulosum voucher L.G. Lohmann 470 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium granulosum,372,372,99%,6.999999999999997e-99,97.29,222,MG750221.1
"Amphilophium gnaphalanthum voucher A.H. Gentry 50829 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium gnaphalanthum,372,372,99%,6.999999999999997e-99,97.29,222,MG750220.1
"Amphilophium glaziovii voucher J.M.A. Braga 7499 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium glaziovii,372,372,99%,6.999999999999997e-99,97.29,222,MG750219.1
"Amphilophium frutescens voucher L.G. Lohmann 695 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium frutescens,372,372,99%,6.999999999999997e-99,97.29,222,MG750218.1
"Amphilophium elongatum voucher J. Lombardi 2433 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium elongatum,372,372,99%,6.999999999999997e-99,97.29,222,MG750217.1
"Amphilophium dolichoides voucher G. Heiden 1769 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium dolichoides,372,372,99%,6.999999999999997e-99,97.29,222,MG750214.1
"Amphilophium dasytrichum voucher A. Araujo 2417 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium dasytrichum,372,372,99%,6.999999999999997e-99,97.29,222,MG750213.1
"Amphilophium crucigerum voucher M. Kaehler 153 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium crucigerum,372,372,99%,6.999999999999997e-99,97.29,222,MG750211.1
"Amphilophium cremersii voucher A.S. Tavares 358 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium cremersii,372,372,99%,6.999999999999997e-99,97.29,222,MG750210.1
"Amphilophium chocoense voucher M. Monsalve B. 1916 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium chocoense,372,372,99%,6.999999999999997e-99,97.29,222,MG750209.1
"Amphilophium carolinae voucher M.M. Arbo 9125 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium carolinae,372,372,99%,6.999999999999997e-99,97.29,222,MG750208.1
"Amphilophium buccinatorium voucher J.L. Perez 310 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium buccinatorium,372,372,99%,6.999999999999997e-99,97.29,222,MG750207.1
"Amphilophium bauhinioides voucher D.A. Folli 4462 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium bauhinioides,372,372,99%,6.999999999999997e-99,97.29,222,MG750204.1
"Amphilophium arenarium voucher A.H. Gentry 14623 (MO) photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium arenarium,372,372,99%,6.999999999999997e-99,97.29,222,MG750202.1
"Anemopaegma glaucum voucher F. Firetti 244 chloroplast, complete genome",Anemopaegma glaucum,372,372,99%,6.999999999999997e-99,97.29,168784,NC_037231.1
"Anemopaegma foetidum voucher L.G. Lohmann 35 chloroplast, complete genome",Anemopaegma foetidum,372,372,99%,6.999999999999997e-99,97.29,167413,NC_037230.1
"Anemopaegma chamberlaynii voucher L.G. Lohmann 689 chloroplast, complete genome",Anemopaegma chamberlaynii,372,372,99%,6.999999999999997e-99,97.29,168933,NC_037229.1
"Anemopaegma arvense voucher F. Firetti 241 chloroplast, complete genome",Anemopaegma arvense,372,372,99%,6.999999999999997e-99,97.29,168806,NC_037228.1
"Anemopaegma album voucher Casa de vegetacao chloroplast, complete genome",Anemopaegma album,372,372,99%,6.999999999999997e-99,97.29,168493,NC_037227.1
"Anemopaegma acutifolium voucher F. Firetti 251 chloroplast, complete genome",Anemopaegma acutifolium,372,372,99%,6.999999999999997e-99,97.29,168987,NC_037226.1
"Fridericia platyphylla chloroplast, partial genome",Fridericia platyphylla,372,372,99%,6.999999999999997e-99,97.29,127741,MG831875.1
"Adenocalymma validum chloroplast, partial genome",Adenocalymma validum,372,372,99%,6.999999999999997e-99,97.29,146074,MG831871.1
"Adenocalymma schomburgkii chloroplast, partial genome",Adenocalymma schomburgkii,372,372,99%,6.999999999999997e-99,97.29,138528,MG831866.1
"Adenocalymma cladotrichum chloroplast, partial genome",Adenocalymma cladotrichum,372,372,99%,6.999999999999997e-99,97.29,152635,MG831847.1
"Adenocalymma adenophorum chloroplast, partial genome",Adenocalymma adenophorum,372,372,99%,6.999999999999997e-99,97.29,142857,MG831842.1
"Anemopaegma arvense chloroplast, partial genome",Anemopaegma arvense,372,372,99%,6.999999999999997e-99,97.29,165925,MG831872.1
"Adenocalymma nodosum voucher L.G. Lohmann 266 chloroplast, complete genome",Adenocalymma nodosum,372,372,99%,6.999999999999997e-99,97.29,157791,NC_037458.1
"Anemopaegma glaucum voucher F. Firetti 250 chloroplast, complete genome",Anemopaegma glaucum,372,372,99%,6.999999999999997e-99,97.29,168694,MF460834.1
"Anemopaegma glaucum voucher F. Firetti 244 chloroplast, complete genome",Anemopaegma glaucum,372,372,99%,6.999999999999997e-99,97.29,168784,MF460833.1
"Anemopaegma foetidum voucher L.G. Lohmann 35 chloroplast, complete genome",Anemopaegma foetidum,372,372,99%,6.999999999999997e-99,97.29,167413,MF460832.1
"Anemopaegma chamberlaynii voucher L.G. Lohmann 689 chloroplast, complete genome",Anemopaegma chamberlaynii,372,372,99%,6.999999999999997e-99,97.29,168933,MF460831.1
"Anemopaegma arvense voucher F. Firetti 237 chloroplast, complete genome",Anemopaegma arvense,372,372,99%,6.999999999999997e-99,97.29,168839,MF460830.1
"Anemopaegma arvense voucher F. Firetti 241 chloroplast, complete genome",Anemopaegma arvense,372,372,99%,6.999999999999997e-99,97.29,168806,MF460829.1
"Anemopaegma album voucher Casa de vegetacao chloroplast, complete genome",Anemopaegma album,372,372,99%,6.999999999999997e-99,97.29,168493,MF460828.1
"Anemopaegma acutifolium voucher F. Firetti 239 chloroplast, complete genome",Anemopaegma acutifolium,372,372,99%,6.999999999999997e-99,97.29,168561,MF460827.1
"Anemopaegma acutifolium voucher F. Firetti 251 chloroplast, complete genome",Anemopaegma acutifolium,372,372,99%,6.999999999999997e-99,97.29,168987,MF460826.1
"Syringa vulgaris voucher G. Besnard, sn [MPU] chloroplast, complete genome",Syringa vulgaris,372,372,99%,6.999999999999997e-99,97.29,155616,MG255768.1
"Olea exasperata voucher A. Costa 1 [MPU] chloroplast, complete genome",Olea exasperata,372,372,99%,6.999999999999997e-99,97.29,155897,MG255766.1
"Olea europaea subsp. europaea isolate Oeiras 1 chloroplast, complete genome",Olea europaea subsp. europaea,372,372,99%,6.999999999999997e-99,97.29,155658,MG255763.1
"Forestiera isabelae voucher de Hammel & Perez 24248 (INB0004033974) [K] chloroplast, complete genome",Forestiera isabelae,372,372,99%,6.999999999999997e-99,97.29,155161,MG255755.1
"Neojobertia candolleana voucher L.G. Lohmann 363 chloroplast, complete genome",Neojobertia candolleana,372,372,99%,6.999999999999997e-99,97.29,158409,MG008316.1
"Adenocalymma pedunculatum voucher L.H.M. Fonseca 267 chloroplast, complete genome",Adenocalymma pedunculatum,372,372,99%,6.999999999999997e-99,97.29,158103,MG008313.1
"Adenocalymma cristicalyx voucher L.G. Lohmann 705 chloroplast, complete genome",Adenocalymma cristicalyx,372,372,99%,6.999999999999997e-99,97.29,159010,MG008311.1
"Adenocalymma biternatum voucher M.R. Pace 521 chloroplast, complete genome",Adenocalymma biternatum,372,372,99%,6.999999999999997e-99,97.29,157025,MG008309.1
"Adenocalymma allamandiflorum voucher B.M. Gomes 671 chloroplast, complete genome",Adenocalymma allamandiflorum,372,372,99%,6.999999999999997e-99,97.29,157953,MG008307.1
"Crescentia cujete chloroplast, partial genome",Crescentia cujete,372,372,99%,6.999999999999997e-99,97.29,154662,KT182634.2
"Premna microphylla chloroplast, complete genome",Premna microphylla,372,372,99%,6.999999999999997e-99,97.29,155293,KM981744.1
"Catalpa bungei voucher K139 chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158142,MW148816.1
"Catalpa bungei voucher K136 chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158140,MW148815.1
"Catalpa bungei voucher ENC850152 chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158143,MW148814.1
"Catalpa fargesii voucher K134 chloroplast, complete genome",Catalpa fargesii,372,372,99%,6.999999999999997e-99,97.29,157859,MW148813.1
"Catalpa fargesii voucher ENC850156 chloroplast, complete genome",Catalpa fargesii,372,372,99%,6.999999999999997e-99,97.29,157550,MW148812.1
"Catalpa fargesii f. duclouxii voucher K135 chloroplast, complete genome",Catalpa fargesii f. duclouxii,372,372,99%,6.999999999999997e-99,97.29,158144,MW148811.1
"Catalpa fargesii f. duclouxii voucher ENC850157 chloroplast, complete genome",Catalpa fargesii f. duclouxii,372,372,99%,6.999999999999997e-99,97.29,158250,MW148810.1
"Catalpa fargesii f. duclouxii voucher ENC850151 chloroplast, complete genome",Catalpa fargesii f. duclouxii,372,372,99%,6.999999999999997e-99,97.29,158185,MW148809.1
"Catalpa ovata voucher K137 chloroplast, complete genome",Catalpa ovata,372,372,99%,6.999999999999997e-99,97.29,158316,MW148808.1
"Catalpa ovata voucher BOP223072 chloroplast, complete genome",Catalpa ovata,372,372,99%,6.999999999999997e-99,97.29,158203,MW148807.1
"Catalpa bignonioides voucher MX002 chloroplast, complete genome",Catalpa bignonioides,372,372,99%,6.999999999999997e-99,97.29,158238,MW148806.1
"Catalpa bignonioides voucher MX001 chloroplast, complete genome",Catalpa bignonioides,372,372,99%,6.999999999999997e-99,97.29,158238,MW148805.1
"Catalpa speciosa voucher K138 chloroplast, complete genome",Catalpa speciosa,372,372,99%,6.999999999999997e-99,97.29,158240,MW148804.1
"Catalpa speciosa voucher ENC850155 chloroplast, complete genome",Catalpa speciosa,372,372,99%,6.999999999999997e-99,97.29,158238,MW148803.1
"Catalpa speciosa voucher ENC850154 chloroplast, complete genome",Catalpa speciosa,372,372,99%,6.999999999999997e-99,97.29,158238,MW148802.1
"Catalpa speciosa voucher ENC850153 chloroplast, complete genome",Catalpa speciosa,372,372,99%,6.999999999999997e-99,97.29,158240,MW148801.1
"Catalpa bignonioides voucher ENC850150 chloroplast, complete genome",Catalpa bignonioides,372,372,99%,6.999999999999997e-99,97.29,158238,MW148800.1
"Catalpa bignonioides voucher ENC850149 chloroplast, complete genome",Catalpa bignonioides,372,372,99%,6.999999999999997e-99,97.29,158238,MW148799.1
"Chilopsis linearis voucher BOP223075 chloroplast, complete genome",Chilopsis linearis,372,372,99%,6.999999999999997e-99,97.29,158431,MW148797.1
"Chilopsis linearis voucher BOP086078 chloroplast, complete genome",Chilopsis linearis,372,372,99%,6.999999999999997e-99,97.29,158436,MW148796.1
"Fraxinus malacophylla chloroplast, complete genome",Fraxinus malacophylla,372,372,99%,6.999999999999997e-99,97.29,155621,MT663306.1
"Callicarpa kochiana chloroplast, complete genome",Callicarpa kochiana,372,372,99%,6.999999999999997e-99,97.29,154181,MZ424315.1
"Callicarpa cathayana chloroplast, complete genome",Callicarpa cathayana,372,372,99%,6.999999999999997e-99,97.29,154182,MZ424314.1
"Callicarpa rubella chloroplast, complete genome",Callicarpa rubella,372,372,99%,6.999999999999997e-99,97.29,154140,MZ424313.1
"Callicarpa rubella chloroplast, complete genome",Callicarpa rubella,372,372,99%,6.999999999999997e-99,97.29,154202,NC_058533.1
"Callicarpa macrophylla chloroplast, complete genome",Callicarpa macrophylla,372,372,99%,6.999999999999997e-99,97.29,154141,MW829279.1
"Premna szemaoensis chloroplast, complete genome",Premna szemaoensis,372,372,99%,6.999999999999997e-99,97.29,153396,MT473775.1
"Premna vietnamensis chloroplast, complete genome",Premna vietnamensis,372,372,99%,6.999999999999997e-99,97.29,153298,MT473774.1
"Dasymalla teckiana chloroplast, complete genome",Dasymalla teckiana,372,372,99%,6.999999999999997e-99,97.29,152742,NC_058334.1
"Congea tomentosa chloroplast, complete genome",Congea tomentosa,372,372,99%,6.999999999999997e-99,97.29,154278,NC_058332.1
"Callicarpa peichieniana chloroplast, complete genome",Callicarpa peichieniana,372,372,99%,6.999999999999997e-99,97.29,154102,NC_058324.1
"Callicarpa macrophylla chloroplast, complete genome",Callicarpa macrophylla,372,372,99%,6.999999999999997e-99,97.29,154149,NC_058323.1
"Callicarpa brevipes chloroplast, complete genome",Callicarpa brevipes,372,372,99%,6.999999999999997e-99,97.29,154182,NC_058322.1
"Callicarpa arborea chloroplast, complete genome",Callicarpa arborea,372,372,99%,6.999999999999997e-99,97.29,154269,NC_058321.1
"Callicarpa integerrima var. chinensis chloroplast, complete genome",Callicarpa integerrima var. chinensis,372,372,99%,6.999999999999997e-99,97.29,154179,MW788028.1
"Ligustrum lucidum voucher TAN-M.S. Vorontsova 2081 chloroplast, complete genome",Ligustrum lucidum,372,372,99%,6.999999999999997e-99,97.29,162498,NC_056243.1
"Ligustrum ovalifolium voucher P-G.Besnard 01-2018 chloroplast, complete genome",Ligustrum ovalifolium,372,372,99%,6.999999999999997e-99,97.29,166800,NC_056242.1
"Ajuga decumbens plastid, complete genome",Ajuga decumbens,372,372,99%,6.999999999999997e-99,97.29,150377,MF967578.1
"Syringa reticulata subsp. amurensis chloroplast, complete genome",Syringa reticulata subsp. amurensis,372,372,99%,6.999999999999997e-99,97.29,156141,MW525283.1
"Callicarpa siongsaiensis chloroplast, complete genome",Callicarpa siongsaiensis,372,372,99%,6.999999999999997e-99,97.29,154144,MW343456.1
"Catalpa ovata chloroplast, complete genome",Catalpa ovata,372,372,99%,6.999999999999997e-99,97.29,158279,MT063116.1
"Salvia daiguii chloroplast, complete genome",Salvia daiguii,372,372,99%,6.999999999999997e-99,97.29,151434,MT901216.1
"Syringa reticulata subsp. amurensis chloroplast, complete genome",Syringa reticulata subsp. amurensis,372,372,99%,6.999999999999997e-99,97.29,155419,MT872640.1
"Tabebuia nodosa plastid, partial genome",Tabebuia nodosa,372,372,99%,6.999999999999997e-99,97.29,158454,MT447061.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158238,MT610898.1
"Catalpa fargesii chloroplast, complete genome",Catalpa fargesii,372,372,99%,6.999999999999997e-99,97.29,157765,MW338733.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158213,MT762363.1
"Callicarpa formosana chloroplast, complete genome",Callicarpa formosana,372,372,99%,6.999999999999997e-99,97.29,154251,MW252167.1
"Callicarpa americana chloroplast, complete genome",Callicarpa americana,372,372,99%,6.999999999999997e-99,97.29,154433,NC_052696.1
"Callicarpa bodinieri voucher CY Wang PS 20191001 chloroplast, complete genome",Callicarpa bodinieri,372,372,99%,6.999999999999997e-99,97.29,154183,NC_054294.1
"Callicarpa longifolia var. floccosa voucher CY Wang PS 20191002 chloroplast, complete genome",Callicarpa longifolia var. floccosa,372,372,99%,6.999999999999997e-99,97.29,154285,MW149076.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158210,NC_051556.1
"Catalpa fargesii chloroplast, complete genome",Catalpa fargesii,372,372,99%,6.999999999999997e-99,97.29,158250,NC_053866.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158109,MT893744.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158144,MT974543.1
"Catalpa bungei chloroplast, complete genome",Catalpa bungei,372,372,99%,6.999999999999997e-99,97.29,158210,MT591528.1
"Callicarpa formosana chloroplast, complete genome",Callicarpa formosana,372,372,99%,6.999999999999997e-99,97.29,154210,NC_052748.1
"Catalpa fargesii f. duclouxii chloroplast, complete genome",Catalpa fargesii f. duclouxii,372,372,99%,6.999999999999997e-99,97.29,158164,MT783420.1
"Spathodea campanulata chloroplast, complete genome",Spathodea campanulata,372,372,99%,6.999999999999997e-99,97.29,158001,NC_049000.1
"Olea woodiana subsp. woodiana complete chloroplast genome, specimen voucher A. Costa 02 (MPU)",Olea woodiana subsp. woodiana,372,372,99%,6.999999999999997e-99,97.29,155942,FN998901.1
"Amphidasya ambigua chloroplast, partial genome",Amphidasya ambigua,370,370,100%,7.999999999999998e-98,96.85,127747,KY378703.1
"Prismatomeris sp. Kainulainen et al. 39 chloroplast, partial genome",Prismatomeris sp. Kainulainen et al. 39,370,370,100%,7.999999999999998e-98,96.85,126291,KY378699.1
"Danais xanthorrhoea chloroplast, partial genome",Danais xanthorrhoea,370,370,100%,7.999999999999998e-98,96.85,127587,KY378686.1
"Isertia laevis chloroplast, partial genome",Isertia laevis,370,370,100%,7.999999999999998e-98,96.85,129750,KY378683.1
"Cinchona pubescens chloroplast, partial genome",Cinchona pubescens,370,370,100%,7.999999999999998e-98,96.85,129163,KY378682.1
"Guettarda scabra chloroplast, partial genome",Guettarda scabra,370,370,100%,7.999999999999998e-98,96.85,128504,KY378680.1
"Hymenodictyon parvifolium chloroplast, partial genome",Hymenodictyon parvifolium,370,370,100%,7.999999999999998e-98,96.85,129045,KY378679.1
"Cephalanthus occidentalis chloroplast, partial genome",Cephalanthus occidentalis,370,370,100%,7.999999999999998e-98,96.85,129614,KY378678.1
"Cubanola domingensis chloroplast, partial genome",Cubanola domingensis,370,370,100%,7.999999999999998e-98,96.85,128281,KY378677.1
"Neolamarckia macrophylla chloroplast, complete genome",Neolamarckia macrophylla,370,370,100%,7.999999999999998e-98,96.85,155406,MN877388.1
"Neolamarckia cadamba chloroplast, complete genome",Neolamarckia cadamba,370,370,100%,7.999999999999998e-98,96.85,154999,NC_041149.1
"Neolamarckia cadamba chloroplast, complete genome",Neolamarckia cadamba,370,370,100%,7.999999999999998e-98,96.85,154999,MG572117.1
"Thevetia peruviana chloroplast, partial genome",Thevetia peruviana,370,370,100%,7.999999999999998e-98,96.85,128309,MG963240.1
"Apocynum cannabinum chloroplast, partial genome",Apocynum cannabinum,370,370,100%,7.999999999999998e-98,96.85,125335,MG963229.1
"Emmenopterys henryi voucher XGS20161127 chloroplast, complete genome",Emmenopterys henryi,370,370,100%,7.999999999999998e-98,96.85,155379,KY273445.1
"Mitragyna speciosa plastid, complete genome",Mitragyna speciosa,370,370,100%,7.999999999999998e-98,96.85,155600,KY085908.1
"Carissa macrocarpa chloroplast, complete genome",Carissa macrocarpa,370,370,100%,7.999999999999998e-98,96.85,155297,KX364402.1
"Morinda officinalis chloroplast, complete genome",Gynochthodes officinalis,370,370,100%,7.999999999999998e-98,96.85,153398,KR869730.1
"Vernonia baldwinii voucher Aust 195 photosystem II protein H (psbH) gene, complete cds; plastid",Vernonia baldwinii,370,370,100%,7.999999999999998e-98,96.85,222,KT177747.1
"Vernonia baldwinii voucher Steele 1200 plastid sequence, 87 unordered pieces",Vernonia baldwinii,370,370,100%,7.999999999999998e-98,96.85,62969,KP126880.1
